"After Six Years, G.M. Restores Its Common Stock Dividend",By REUTERS,348 words,15 January 2014,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0
A Coupe for Cadillac's BMW-Battling Line,By PAUL STENQUIST,516 words,15 January 2014,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
"Feeling Steadier, Ford Remakes F-150 Pickup, the Nation's No. 1 Vehicle",By BILL VLASIC,"1,007 words",14 January 2014,0,0,0,0,0,0,0,0,16,13,4,2,1,0,0,0
Chevrolet Doubles Up for Car and Truck of the Year,By JERRY GARRETT,209 words,14 January 2014,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
G.M. Announces Recall of Silverado and Sierra Trucks,By REUTERS,110 words,11 January 2014,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Fiat's Challenge Is to Improve Performance in Italy and Asia,By DAVID JOLLY; Bill Vlasic contributed reporting from Detroit.,983 words,3 January 2014,1,1,0,0,0,0,0,0,12,13,4,3,0,0,0,0
Automobiles; SECT,Critics' Picks: Recovery Is Paying Off,295 words,29 December 2013,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0
Wheels That Made the Year Go Round,By JAMES G. COBB,"1,230 words",29 December 2013,0,0,0,0,0,0,0,0,16,1,3,4,2,0,0,0
G.M. Joint Venture In China To Recall 1.46. Million Cars,By REUTERS,146 words,28 December 2013,0,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0
G.M. to Invest $1.3 Billion to Upgrade 5 Midwest Factories,By BILL VLASIC,963 words,17 December 2013,0,0,0,0,0,0,0,0,14,8,3,6,0,0,0,0
G.M. to Close Plants in Australia Within 4 Years,By REUTERS,482 words,12 December 2013,0,0,0,0,0,0,0,0,5,9,1,3,0,0,0,0
Wheelies: The Down Under and Away Edition,By BENJAMIN PRESTON,434 words,12 December 2013,0,0,0,0,0,0,0,0,2,8,2,4,3,0,0,0
"Company Woman, Born to the Job, is New G.M. Chief",By BILL VLASIC,"1,339 words",11 December 2013,0,0,0,0,0,0,0,0,9,15,0,5,1,0,1,0
"Mary Barra, G.M.'s New Chief, Speaking Her Mind",By THE NEW YORK TIMES,"1,120 words",11 December 2013,0,0,0,0,0,0,0,0,14,4,2,3,1,0,0,0
"U.S. Ends Bailout of G.M., Selling Last Shares of Stock","By BILL VLASIC and ANNIE LOWREY; Bill Vlasic reported from Detroit, and Annie Lowrey from Washington.","1,243 words",10 December 2013,0,1,0,0,0,0,0,0,11,22,2,3,0,0,1,0
On Alert for Red-Light Cameras,By JOHN R. QUAIN,750 words,8 December 2013,0,0,0,0,0,0,0,0,3,10,1,1,5,0,0,0
G.M. to Pull Back on Chevrolet Sales in Europe,By JACLYN TROP,381 words,6 December 2013,0,0,0,0,0,0,0,0,7,5,0,9,0,0,0,0
Shedding Its Stake,By MICHAEL J. DE LA MERCED,229 words,5 December 2013,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Saab to Resume Auto Production in Sweden,By REUTERS,142 words,30 November 2013,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
G.M.'s Opel Unit Reaches Deal to Close a German Plant,By JACK EWING,449 words,19 November 2013,0,0,0,0,0,0,0,0,1,15,1,5,2,0,0,0
An Early Import Fighter That Only Embarrassed,By JIM KOSCS,459 words,10 November 2013,0,1,0,0,0,0,0,0,8,7,1,1,1,0,0,0
An Artifact From a Grim Era in Detroit's Showrooms,By JIM KOSCS,"1,585 words",10 November 2013,0,0,0,0,0,0,0,0,10,15,4,2,1,0,0,0
"Profit Is Up 70% at Toyota, Close to Its Old Milestone",By HIROKO TABUCHI,934 words,7 November 2013,0,0,0,0,0,0,0,0,8,18,3,2,0,0,0,0
G.M.'s Earnings Are Down on Overseas Sales; Chrysler's Are Up,By BILL VLASIC,942 words,31 October 2013,0,0,0,0,0,0,0,0,11,10,0,3,0,0,0,0
Ford Maintains Earnings Streak and Raises Profit Forecast for the Year,By JACLYN TROP,808 words,25 October 2013,0,0,0,0,0,0,0,0,9,10,1,0,0,0,1,0
2 Automakers Fear Effects Of Shutdown On Sales,By JACLYN TROP,806 words,16 October 2013,0,2,0,0,0,0,0,0,4,29,6,6,1,0,0,0
G.M. Wants to Increase The Range of Its E.V.'s,By JIM MOTAVALLI,645 words,22 September 2013,0,0,0,0,0,0,0,0,4,4,5,3,0,0,0,0
The 2014 Chevrolet Malibu will be so efficient that it may render the more...,By AUTOMOTIVE NEWS,113 words,15 September 2013,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0
A Revered Nameplate Makes an Encore,By JOHN LAMM,"1,323 words",1 September 2013,0,0,0,0,0,0,0,0,3,11,2,3,1,0,0,0
Fast-Forward Lessons In Corvette Genealogy,By JERRY GARRETT,435 words,1 September 2013,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
